Start_time, Request_Type, Latency, Response_Code
18:31:22.930353600, POST, 12.0, 201
18:31:22.936359400, POST, 7.0, 201
18:31:22.931354500, POST, 12.0, 201
18:31:22.935358400, POST, 8.0, 201
18:31:22.933356700, POST, 10.0, 201
18:31:22.935358400, POST, 8.0, 201
18:31:22.936359400, POST, 8.0, 201
18:31:22.927351, POST, 17.0, 201
18:31:22.928352100, POST, 17.0, 201
18:31:22.935358400, POST, 11.0, 201
18:31:22.928352100, POST, 17.0, 201
18:31:22.935358400, POST, 11.0, 201
18:31:22.934357100, POST, 12.0, 201
18:31:22.945367500, POST, 12.0, 201
18:31:22.942364800, POST, 15.0, 201
18:31:22.943365600, POST, 15.0, 201
18:31:22.946368200, POST, 12.0, 201
18:31:22.943365600, POST, 15.0, 201
18:31:22.944366500, POST, 14.0, 201
18:31:22.944366500, POST, 14.0, 201
18:31:22.943365600, POST, 16.0, 201
18:31:22.946368200, POST, 12.0, 201
18:31:22.944366500, POST, 15.0, 201
18:31:22.943365600, POST, 16.0, 201
18:31:22.942364800, POST, 18.0, 201
18:31:22.946368200, POST, 13.0, 201
18:31:22.947369100, POST, 13.0, 201
18:31:22.943365600, POST, 16.0, 201
18:31:22.943365600, POST, 17.0, 201
18:31:22.958379300, POST, 15.0, 201
18:31:22.960381, POST, 13.0, 201
18:31:22.959380200, POST, 14.0, 201
18:31:22.960381, POST, 13.0, 201
18:31:22.960381, POST, 13.0, 201
18:31:22.959380200, POST, 14.0, 201
18:31:22.960381, POST, 14.0, 201
18:31:22.958379300, POST, 16.0, 201
18:31:22.959380200, POST, 15.0, 201
18:31:22.960381, POST, 14.0, 201
18:31:22.959380200, POST, 15.0, 201
18:31:22.960381, POST, 15.0, 201
18:31:22.959380200, POST, 15.0, 201
18:31:22.959380200, POST, 16.0, 201
18:31:22.958379300, POST, 17.0, 201
18:31:22.958379300, POST, 17.0, 201
18:31:22.973392900, POST, 15.0, 201
18:31:22.974393600, POST, 15.0, 201
18:31:22.973392900, POST, 15.0, 201
18:31:22.975394600, POST, 13.0, 201
18:31:22.975394600, POST, 13.0, 201
18:31:22.973392900, POST, 15.0, 201
18:31:22.975394600, POST, 14.0, 201
18:31:22.975394600, POST, 13.0, 201
18:31:22.975394600, POST, 14.0, 201
18:31:22.974393600, POST, 15.0, 201
18:31:22.973392900, POST, 16.0, 201
18:31:22.974393600, POST, 15.0, 201
18:31:22.975394600, POST, 15.0, 201
18:31:22.975394600, POST, 15.0, 201
18:31:22.975394600, POST, 15.0, 201
18:31:22.976395600, POST, 14.0, 201
18:31:22.989407300, POST, 4.0, 201
18:31:22.989407300, POST, 4.0, 201
18:31:22.990408500, POST, 4.0, 201
18:31:22.989407300, POST, 4.0, 201
18:31:22.989407300, POST, 5.0, 201
18:31:22.990408500, POST, 4.0, 201
18:31:22.989407300, POST, 5.0, 201
18:31:22.989407300, POST, 5.0, 201
18:31:22.989407300, POST, 5.0, 201
18:31:22.989407300, POST, 5.0, 201
18:31:22.995413, POST, 11.0, 201
18:31:22.995413, POST, 11.0, 201
18:31:22.995413, POST, 11.0, 201
18:31:22.995413, POST, 11.0, 201
18:31:22.990408500, POST, 16.0, 201
18:31:22.995413, POST, 11.0, 201
18:31:22.995413, POST, 11.0, 201
18:31:22.990408500, POST, 16.0, 201
18:31:22.995413, POST, 11.0, 201
18:31:22.994412500, POST, 13.0, 201
18:31:22.994412500, POST, 13.0, 201
18:31:22.989407300, POST, 18.0, 201
18:31:22.989407300, POST, 18.0, 201
18:31:22.989407300, POST, 18.0, 201
18:31:22.994412500, POST, 13.0, 201
18:31:22.990408500, POST, 18.0, 201
18:31:23.007423900, POST, 2.0, 201
18:31:23.008424400, POST, 1.0, 201
18:31:23.006422900, POST, 3.0, 201
18:31:23.007423900, POST, 2.0, 201
18:31:23.010426300, POST, 10.0, 201
18:31:23.010426300, POST, 10.0, 201
18:31:23.007423900, POST, 13.0, 201
18:31:23.008424400, POST, 12.0, 201
18:31:23.006422900, POST, 14.0, 201
18:31:23.007423900, POST, 13.0, 201
18:31:23.010426300, POST, 11.0, 201
18:31:23.008424400, POST, 13.0, 201
18:31:23.006422900, POST, 15.0, 201
18:31:23.007423900, POST, 14.0, 201
18:31:23.006422900, POST, 15.0, 201
18:31:23.006422900, POST, 15.0, 201
18:31:23.006422900, POST, 15.0, 201
18:31:23.007423900, POST, 15.0, 201
18:31:23.010426300, POST, 12.0, 201
18:31:23.006422900, POST, 16.0, 201
18:31:23.022437400, POST, 14.0, 201
18:31:23.022437400, POST, 14.0, 201
18:31:23.022437400, POST, 14.0, 201
18:31:23.022437400, POST, 14.0, 201
18:31:23.023438300, POST, 14.0, 201
18:31:23.020435500, POST, 16.0, 201
18:31:23.021436700, POST, 15.0, 201
18:31:23.021436700, POST, 15.0, 201
18:31:23.021436700, POST, 15.0, 201
18:31:23.023438300, POST, 14.0, 201
18:31:23.022437400, POST, 15.0, 201
18:31:23.021436700, POST, 16.0, 201
18:31:23.022437400, POST, 15.0, 201
18:31:23.021436700, POST, 16.0, 201
18:31:23.020435500, POST, 17.0, 201
18:31:23.020435500, POST, 17.0, 201
18:31:23.037451100, POST, 14.0, 201
18:31:23.037451100, POST, 14.0, 201
18:31:23.037451100, POST, 15.0, 201
18:31:23.036450300, POST, 15.0, 201
18:31:23.037451100, POST, 14.0, 201
18:31:23.037451100, POST, 15.0, 201
18:31:23.037451100, POST, 15.0, 201
18:31:23.037451100, POST, 15.0, 201
18:31:23.036450300, POST, 16.0, 201
18:31:23.038452100, POST, 14.0, 201
