Start_time, Request_Type, Latency, Response_Code
07:29:31.024789800, POST, 15.0, 201
07:29:31.024789800, POST, 15.0, 201
07:29:31.025790900, POST, 14.0, 201
07:29:31.025790900, POST, 14.0, 201
07:29:31.024789800, POST, 15.0, 201
07:29:31.024789800, POST, 15.0, 201
07:29:31.024789800, POST, 15.0, 201
07:29:31.039803200, POST, 13.0, 201
07:29:31.038802600, POST, 14.0, 201
07:29:31.040804100, POST, 12.0, 201
07:29:31.038802600, POST, 14.0, 201
07:29:31.039803200, POST, 13.0, 201
07:29:31.038802600, POST, 14.0, 201
07:29:31.039803200, POST, 14.0, 201
07:29:31.039803200, POST, 14.0, 201
07:29:31.038802600, POST, 15.0, 201
07:29:31.038802600, POST, 15.0, 201
07:29:31.039803200, POST, 14.0, 201
07:29:31.040804100, POST, 14.0, 201
07:29:31.039803200, POST, 14.0, 201
07:29:31.039803200, POST, 14.0, 201
07:29:31.038802600, POST, 16.0, 201
07:29:31.038802600, POST, 16.0, 201
07:29:31.054817400, POST, 12.0, 201
07:29:31.053816400, POST, 14.0, 201
07:29:31.054817400, POST, 13.0, 201
07:29:31.053816400, POST, 14.0, 201
07:29:31.054817400, POST, 13.0, 201
07:29:31.054817400, POST, 13.0, 201
07:29:31.054817400, POST, 14.0, 201
07:29:31.053816400, POST, 16.0, 201
07:29:31.054817400, POST, 14.0, 201
07:29:31.053816400, POST, 17.0, 201
07:29:31.053816400, POST, 18.0, 201
07:29:31.053816400, POST, 18.0, 201
07:29:31.054817400, POST, 17.0, 201
07:29:31.054817400, POST, 18.0, 201
07:29:31.054817400, POST, 18.0, 201
07:29:31.054817400, POST, 19.0, 201
07:29:31.067828900, POST, 5.0, 201
07:29:31.069830700, POST, 13.0, 201
07:29:31.067828900, POST, 14.0, 201
07:29:31.067828900, POST, 14.0, 201
07:29:31.067828900, POST, 14.0, 201
07:29:31.070832100, POST, 12.0, 201
07:29:31.067828900, POST, 14.0, 201
07:29:31.071833, POST, 11.0, 201
07:29:31.072834, POST, 10.0, 201
07:29:31.068830100, POST, 15.0, 201
07:29:31.071833, POST, 11.0, 201
07:29:31.073834500, POST, 9.0, 201
07:29:31.072834, POST, 11.0, 201
07:29:31.069830700, POST, 14.0, 201
07:29:31.069830700, POST, 14.0, 201
07:29:31.073834500, POST, 10.0, 201
07:29:31.072834, POST, 11.0, 201
07:29:31.084844500, POST, 1.0, 201
07:29:31.083843300, POST, 15.0, 201
07:29:31.083843300, POST, 17.0, 201
07:29:31.083843300, POST, 17.0, 201
07:29:31.082842300, POST, 18.0, 201
07:29:31.082842300, POST, 18.0, 201
07:29:31.082842300, POST, 18.0, 201
07:29:31.082842300, POST, 19.0, 201
07:29:31.084844500, POST, 17.0, 201
07:29:31.082842300, POST, 19.0, 201
07:29:31.084844500, POST, 17.0, 201
07:29:31.083843300, POST, 19.0, 201
07:29:31.082842300, POST, 19.0, 201
07:29:31.083843300, POST, 18.0, 201
07:29:31.085845400, POST, 16.0, 201
07:29:31.084844500, POST, 18.0, 201
07:29:31.082842300, POST, 20.0, 201
07:29:31.099858, POST, 15.0, 201
07:29:31.101859900, POST, 14.0, 201
07:29:31.100858900, POST, 14.0, 201
07:29:31.101859900, POST, 14.0, 201
07:29:31.100858900, POST, 15.0, 201
07:29:31.101859900, POST, 14.0, 201
07:29:31.102860800, POST, 13.0, 201
07:29:31.102860800, POST, 14.0, 201
07:29:31.102860800, POST, 14.0, 201
07:29:31.102860800, POST, 14.0, 201
07:29:31.102860800, POST, 14.0, 201
07:29:31.102860800, POST, 15.0, 201
07:29:31.102860800, POST, 14.0, 201
07:29:31.102860800, POST, 14.0, 201
07:29:31.102860800, POST, 14.0, 201
07:29:31.102860800, POST, 15.0, 201
07:29:31.116873500, POST, 14.0, 201
07:29:31.116873500, POST, 14.0, 201
07:29:31.116873500, POST, 14.0, 201
07:29:31.115872800, POST, 15.0, 201
07:29:31.117874700, POST, 13.0, 201
07:29:31.115872800, POST, 15.0, 201
07:29:31.115872800, POST, 15.0, 201
07:29:31.116873500, POST, 14.0, 201
07:29:31.117874700, POST, 14.0, 201
07:29:31.117874700, POST, 14.0, 201
07:29:31.117874700, POST, 14.0, 201
07:29:31.117874700, POST, 14.0, 201
07:29:31.117874700, POST, 14.0, 201
07:29:31.117874700, POST, 14.0, 201
07:29:31.116873500, POST, 15.0, 201
07:29:31.115872800, POST, 17.0, 201
07:29:31.131887100, POST, 13.0, 201
07:29:31.131887100, POST, 14.0, 201
07:29:31.131887100, POST, 14.0, 201
07:29:31.131887100, POST, 14.0, 201
07:29:31.130886, POST, 14.0, 201
07:29:31.131887100, POST, 14.0, 201
07:29:31.130886, POST, 15.0, 201
07:29:31.131887100, POST, 14.0, 201
07:29:31.132888300, POST, 13.0, 201
07:29:31.132888300, POST, 13.0, 201
07:29:31.130886, POST, 15.0, 201
07:29:31.131887100, POST, 14.0, 201
07:29:31.130886, POST, 15.0, 201
07:29:31.131887100, POST, 14.0, 201
07:29:31.131887100, POST, 14.0, 201
07:29:31.130886, POST, 16.0, 201
07:29:31.146901800, POST, 2.0, 201
07:29:31.145900, POST, 15.0, 201
07:29:31.149903700, POST, 12.0, 201
07:29:31.146901800, POST, 15.0, 201
07:29:31.146901800, POST, 15.0, 201
07:29:31.145900, POST, 16.0, 201
07:29:31.145900, POST, 16.0, 201
07:29:31.145900, POST, 16.0, 201
07:29:31.145900, POST, 17.0, 201
07:29:31.146901800, POST, 16.0, 201
07:29:31.146901800, POST, 17.0, 201
07:29:31.146901800, POST, 17.0, 201
07:29:31.145900, POST, 17.0, 201
07:29:31.145900, POST, 17.0, 201
07:29:31.145900, POST, 17.0, 201
07:29:31.146901800, POST, 18.0, 201
07:29:31.145900, POST, 18.0, 201
07:29:31.162915500, POST, 15.0, 201
07:29:31.161914300, POST, 15.0, 201
07:29:31.163916100, POST, 14.0, 201
07:29:31.162915500, POST, 15.0, 201
07:29:31.161914300, POST, 16.0, 201
07:29:31.163916100, POST, 14.0, 201
07:29:31.163916100, POST, 14.0, 201
07:29:31.162915500, POST, 15.0, 201
07:29:31.163916100, POST, 15.0, 201
07:29:31.161914300, POST, 16.0, 201
07:29:31.164916900, POST, 14.0, 201
07:29:31.164916900, POST, 13.0, 201
07:29:31.162915500, POST, 16.0, 201
07:29:31.163916100, POST, 15.0, 201
07:29:31.163916100, POST, 15.0, 201
07:29:31.163916100, POST, 15.0, 201
07:29:31.178930200, POST, 1.0, 201
07:29:31.178930200, POST, 15.0, 201
07:29:31.178930200, POST, 15.0, 201
07:29:31.178930200, POST, 15.0, 201
07:29:31.180932400, POST, 13.0, 201
07:29:31.177929700, POST, 16.0, 201
07:29:31.178930200, POST, 15.0, 201
07:29:31.178930200, POST, 16.0, 201
07:29:31.178930200, POST, 15.0, 201
07:29:31.178930200, POST, 15.0, 201
07:29:31.177929700, POST, 16.0, 201
07:29:31.178930200, POST, 16.0, 201
07:29:31.178930200, POST, 16.0, 201
07:29:31.177929700, POST, 16.0, 201
